uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
155,F,5,0,0,0,0.0,76.0,29.0,5.0,2.0
194,F,7,0,0,0,1.0,8.0,21.0,44.0,14.0
198,F,-18,0,0,0,2.0,5.0,8.0,15.0,45.0
207,F,75,0,0,0,1.0,10.0,33.0,16.0,24.0
212,F,19,0,0,1,3.0,11.0,14.0,69.0,10.0
214,F,124,3,3,1,1.0,8.0,10.0,44.0,44.0
239,F,9,0,0,0,5.0,0.0,2.0,10.0,22.0
251,F,1,2,2,0,6.0,62.0,10.0,44.0,53.0
254,F,8,2,2,0,7.0,28.0,11.0,70.0,45.0
255,F,3,0,0,0,1.0,8.0,10.0,44.0,44.0
269,F,30,0,0,0,8.0,22.0,11.0,19.0,16.0
273,F,94,2,2,0,9.0,41.0,28.0,44.0,45.0
283,F,20,3,3,1,1.0,8.0,10.0,44.0,44.0
290,F,9,2,0,0,2.0,22.0,21.0,0.0,8.0
301,F,151,2,0,0,1.0,41.0,29.0,11.0,34.0
302,F,180,0,0,0,8.0,0.0,18.0,10.0,42.0
323,F,201,0,2,1,8.0,3.0,10.0,27.0,23.0
324,F,148,0,0,0,10.0,2.0,29.0,15.0,19.0
330,F,99,1,1,1,1.0,8.0,10.0,44.0,44.0
335,F,172,3,3,1,1.0,8.0,10.0,44.0,44.0
343,F,117,2,2,0,11.0,6.0,70.0,44.0,34.0
351,F,37,1,0,0,0.0,8.0,39.0,14.0,32.0
366,F,136,0,0,0,1.0,5.0,10.0,44.0,44.0
370,F,144,2,0,0,1.0,56.0,69.0,75.0,53.0
375,F,49,3,3,1,1.0,8.0,10.0,44.0,44.0
407,F,121,2,2,0,1.0,8.0,22.0,12.0,11.0
408,F,69,2,0,0,12.0,11.0,31.0,14.0,45.0
416,F,174,3,3,1,1.0,8.0,10.0,44.0,44.0
419,F,134,0,0,0,1.0,8.0,10.0,44.0,44.0
425,F,123,2,0,0,13.0,8.0,10.0,44.0,44.0
427,F,80,2,0,0,1.0,8.0,10.0,44.0,44.0
431,F,104,1,1,0,14.0,2.0,59.0,32.0,25.0
437,F,600,2,2,0,8.0,10.0,11.0,31.0,51.0
455,F,61,0,0,0,15.0,17.0,20.0,16.0,19.0
470,F,212,1,2,0,2.0,18.0,21.0,22.0,39.0
477,F,60,2,1,0,16.0,1.0,17.0,5.0,44.0
482,F,85,0,1,0,17.0,20.0,18.0,1.0,44.0
493,F,60,2,1,0,17.0,0.0,21.0,15.0,44.0
5,F,138,2,2,0,16.0,20.0,19.0,5.0,44.0
99,F,-3,2,2,0,1.0,5.0,21.0,8.0,44.0
100,A,57,0,0,0,1.0,19.0,0.0,16.0,44.0
11,M,313,2,0,0,5.0,8.0,18.0,19.0,44.0
110,M,119,1,1,0,17.0,20.0,18.0,0.0,44.0
112,M,91,1,0,0,18.0,19.0,21.0,5.0,44.0
118,M,152,2,0,0,5.0,16.0,17.0,1.0,44.0
160,M,147,2,2,0,1.0,5.0,8.0,0.0,44.0
169,M,48,0,2,0,1.0,5.0,17.0,0.0,44.0
170,M,172,1,1,0,19.0,17.0,20.0,16.0,44.0
182,F,109,0,0,0,17.0,5.0,8.0,21.0,44.0
184,M,304,2,1,0,18.0,20.0,1.0,19.0,44.0
191,F,66,2,0,0,17.0,20.0,5.0,21.0,44.0
2,M,276,0,0,0,17.0,8.0,5.0,21.0,44.0
201,M,48,2,1,0,15.0,1.0,19.0,8.0,44.0
202,M,145,1,0,0,15.0,18.0,1.0,19.0,44.0
205,A,101,0,2,0,0.0,21.0,18.0,15.0,44.0
217,M,130,2,1,0,1.0,21.0,8.0,19.0,44.0
22,A,192,2,2,0,8.0,17.0,21.0,5.0,44.0
221,M,139,2,0,0,0.0,21.0,1.0,16.0,44.0
224,M,180,1,2,0,19.0,0.0,21.0,20.0,44.0
226,M,125,1,0,0,8.0,21.0,16.0,18.0,44.0
229,F,73,1,1,0,17.0,1.0,18.0,8.0,44.0
23,M,118,2,1,0,17.0,1.0,20.0,8.0,44.0
230,M,204,0,0,0,1.0,19.0,5.0,20.0,44.0
